year,country,gov_party,value,gdp,tax_rate_variation_per_gov,tax_rate_variation_per_year,gdp_variation_per_gov,gdp_variation_per_year
2009,Netherlands,3,31.793911,871518638049.0,-0.0318551426635203,-0.0318551426635203,-0.08441421622207734,-0.08441421622207734
2010,Netherlands,2,31.656734,847380859017.0,,-0.004314568283216302,,-0.027696228144971524
2011,Netherlands,1,31.703928,905270626333.0,,0.0014908044525376862,,0.06831611394096715
2012,Netherlands,2,32.006195,838923319920.0,,0.009534055212338188,,-0.07329002453305544
2013,Netherlands,3,34.844855,877172824535.0,,0.08869095498543333,,0.0455935646402672
2014,Netherlands,3,32.432452,892167986714.0,-0.06923268872836474,-0.06923268872836474,0.017094877724864732,0.017094877724864732
2015,Netherlands,3,30.255342,765572770634.0,-0.06712751783306425,-0.06712751783306425,-0.14189616525725246,-0.14189616525725246
2016,Netherlands,3,30.216083,784060430240.0,-0.0012975890340289897,-0.0012975890340289897,0.024148794621691838,0.024148794621691838
2017,Netherlands,3,30.331604,833869641687.0,0.0038231626514924066,0.0038231626514924066,0.06352726081553883,0.06352726081553883
2018,Netherlands,1,30.532698,914043438180.0,,0.0066298505018067555,,0.09614667867126148
2019,Netherlands,1,29.389764,910194347569.0,-0.03743311514757064,-0.03743311514757064,-0.004211058742092266,-0.004211058742092266
2020,Netherlands,1,28.453901,909793466661.0,-0.03184316144899979,-0.03184316144899979,-0.00044043440730068273,-0.00044043440730068273
2021,Netherlands,1,27.673039,1011798853062.0,-0.02744305605055697,-0.02744305605055697,0.1121192777690152,0.1121192777690152
2000,New Zealand,5,19.367838,52622954599.0,,,,
2001,New Zealand,5,19.36221,53872463497.0,-0.0002905848345075013,-0.0002905848345075013,0.023744559907773466,0.023744559907773466
2002,New Zealand,5,19.416535,66627729311.0,0.0028057231070213184,0.0028057231070213184,0.23676782136963737,0.23676782136963737
2003,New Zealand,5,19.459168,88250885550.0,0.002195705876460341,0.002195705876460341,0.32453689271127684,0.32453689271127684
2004,New Zealand,5,19.713631,103905628689.0,0.013076766694239073,0.013076766694239073,0.17738907707765206,0.17738907707765206
2005,New Zealand,5,20.032028,114720129550.0,0.016151108844433715,0.016151108844433715,0.10408002913267467,0.10408002913267467
2006,New Zealand,5,20.439708,111538810713.0,0.020351409253221764,0.020351409253221764,-0.027731130094422074,-0.027731130094422074
2007,New Zealand,5,21.075868,137188946866.0,0.031123732295979867,0.031123732295979867,0.22996601800785066,0.22996601800785066
2008,New Zealand,4,20.511511,133131369930.0,,-0.02677740247756344,,-0.029576558671036812
2009,New Zealand,1,18.073907,121373602349.0,,-0.11884078164694933,,-0.08831703292155857
